CustomerID,Lookalike_1,Score_1,Lookalike_2,Score_2,Lookalike_3,Score_3
C0001,C0184,0.9991664353582236,C0147,0.9983521649478266,C0152,0.99775198102607
C0002,C0043,0.9989559764401729,C0159,0.9983197482750578,C0005,0.9971218362892121
C0003,C0190,0.9973994285991056,C0191,0.9961599172798205,C0076,0.996016857448302
C0004,C0102,0.997871050496604,C0113,0.9969693343876518,C0169,0.9944333852243498
C0005,C0159,0.999425856924909,C0007,0.9989764256463847,C0080,0.9981095114979829
C0006,C0126,0.9987010417764531,C0137,0.995282416301976,C0181,0.9936113062992703
C0007,C0159,0.9990979172080976,C0123,0.9990784031164995,C0005,0.9989764256463847
C0008,C0034,0.9903884426962769,C0024,0.9898297371311595,C0194,0.9878596444250164
C0009,C0119,0.9929848043215599,C0121,0.9898730078073973,C0063,0.9869953792249283
C0010,C0019,0.9989428776218859,C0199,0.9969317454049145,C0086,0.996390178167699
C0011,C0107,0.9992829782456707,C0174,0.9975443136050695,C0133,0.9966124333199775
C0012,C0013,0.996536685610707,C0039,0.9964287584873469,C0195,0.99561057629868
C0013,C0012,0.996536685610707,C0087,0.9963431518068508,C0195,0.9873625783905049
C0014,C0063,0.9842241868173048,C0119,0.9723199487071902,C0089,0.9666276877828538
C0015,C0058,0.9921252101895975,C0094,0.9887386662029455,C0020,0.9842434954504438
C0016,C0183,0.9983677235910732,C0185,0.9969390160044995,C0050,0.9959215496369117
C0017,C0041,0.9956123431233219,C0051,0.9903637780416243,C0170,0.9877431762065642
C0018,C0046,0.9979464069385692,C0098,0.9889949492868595,C0117,0.987161294455319
C0019,C0010,0.9989428776218859,C0199,0.9981392661078258,C0197,0.9979922996517291
C0020,C0033,0.9956493648071325,C0058,0.98980434250905,C0036,0.9842711032708261
